Глубина манометра;Dшт;Руст_1;Рзаб_1;Pлин_1;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды 1;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды 2;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб_1;Pсб_2;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
3576.3;7.94;249.6;370.1;101.8;249;359.6;101.8;53;31.7;103.2;32.5;214.7;83.6;0.4;231.25;1610.37;131.3;0.4;56.8;45.25;56.5;;93.6;92.38;0.806;801;1000;0.6694;2.78;311.91
3576.3;9.53;233.5;364.6;101.3;231;338.1;102.4;58.8;37.6;103;38.6;290.59;104.7;1.4;309;2310.23;158.5;1.4;56.8;45.25;56.5;;92.9;91.69;0.806;801;1000;0.6694;3.7;288.6
3576.3;11.11;213.4;357.1;101.6;211;314.8;100.6;63.6;42.8;102.6;43.4;368.04;114.3;1.9;388.11;3039.49;172.3;1.9;56.8;45.25;56.5;;91.4;90.2;0.806;801;1000;0.6694;4.52;248.79
3576.3;12.7;191.6;347.4;98.4;187;291.5;99;64.7;46.2;102;46.1;434.66;121.3;3.3;455.21;3824.08;181.5;3.3;56.8;45.25;56.5;;89.2;88.03;0.806;801;1000;0.6694;5.22;223.56
3576.3;14.29;171.9;337.7;99.2;169;270.3;99.5;64;49.4;104.4;49.9;483.28;129.8;4.6;504.59;4299.1;190.6;4.7;56.8;45.25;56.5;;89.7;88.53;0.806;801;1000;0.6694;5.77;215.15
3576.3;9.53;199.5;286.4;106.36;199.5;286.6;106.19;57.5;38.8;102.64;38.98;251.7;76.8;0.6;268.9;1921;119;0.6;56.8;41.22;48.3;;90.7;89.51;0.8127;789.8;1000;0.675;3.08;241.13
3667;7.94;252;354.33;102.93;252;354.2;101.57;56;;105.3;33;234.86;56.07;0;261.28;1807.4;90.4;0;57.2;38.74;50.86;50.1;100.9;99.58;;787;;0.66;;188
3667;9.53;250;350.2;103.19;250;349.1;103.32;61;;105.2;39.06;326.22;73.89;0;362.08;2532.4;118;0;57.2;38.74;50.86;50.1;100.1;98.79;;787;;0.66;;178
3667;11.11;240;344;105.67;240;344.1;105.59;65;;105.2;44.9;429.72;92.13;1.01;476.2;3392.3;146;1;57.2;38.74;50.86;50.1;102;100.67;;787;;0.66;;169
3667;12.7;228;336.7;108.1;228;343;108.14;42;;105.1;49.84;532.28;109.81;1.38;589.14;4228.8;175.5;1.4;57.2;38.74;50.86;50.1;103.8;102.44;;787;;0.66;;162
3579;7.94;259.61;365.86;103.47;259;365.9;101.42;52;27.2;105.9;28.09;243.64;70.73;1.14;257.64;1713.8;117.3;1.2;62.57;41.23;;;93.2;91.98;;793.7;;0.66;;230
3579;9.53;239.42;342.27;103.2;239;342.3;104.18;58;34.6;105.7;35.1;313.85;79.58;1.66;327.84;2353.5;129.7;1.7;62.57;41.23;;;92;90.8;;793.7;;0.66;;201
3579;11.11;213.43;312.27;103.19;212;312.3;103;61;41.2;105.2;41.11;395;85.5;2.59;410.02;3085.5;139.7;2.7;62.57;41.23;;;93.7;92.47;;793.7;;0.66;;172
3579;12.7;194.24;291.74;103.23;194;291.7;103.92;62;43.7;104.5;44.14;435.04;86.21;3.16;449.65;3534.4;137.7;3.2;62.57;41.23;;;89.6;88.43;;793.7;;0.66;;157
3579;14.29;166;263.03;107.38;166;263;107.54;63;49.2;103.4;49.75;494.59;88.07;3.51;509.05;4071.6;142.2;3.6;62.57;41.23;;;90.3;89.12;;793.7;;0.66;;141
3582.5;9.53;206;292;105.51;206;292;105.03;56;37.4;104.6;37.79;273.4;59.9;0.8;285.54;2085;94;0.7;62.6;;49.7;;92.1;90.9;;783;;0.67;;172
3653;9.53;272.69;388.7;89.65;268;388.6;86.75;48;21;105.32;22.03;375.37;138.98;0.86;398.4;3127;238.3;1;63.6;53.27;56.7;56.8;99.7;98.4;0.7874;798;1000;0.654;4.71;295.5
3653;12.7;202.15;308.8;97.88;197;308.7;92.46;54;35;105.22;35.41;473.78;151.79;0.7;496.81;3895.7;245;0.8;63.6;53.27;56.7;56.8;99.2;97.9;0.7874;798;1000;0.654;5.73;255.68
3653;14.29;165.85;270.5;79.95;162;270.4;81.15;52;34;105.12;33.83;488.09;143.15;0.43;509.73;5129;221.2;0.4;63.6;53.27;56.7;56.8;98.9;97.61;0.7874;798;1000;0.654;5.78;233.96
3653;15.88;138.87;239.3;80.73;136;239.3;79.54;51;38;105.02;37.26;492.51;137.68;0.41;513.33;5235.6;209.7;0.4;63.6;53.27;56.7;56.8;100.8;99.48;0.7874;798;1000;0.654;5.76;223.11
3653;14.29;149.89;251.3;73.31;151;285.3;72.58;50;;100.21;31.99;459.31;114.88;0.34;476.68;5209.5;172.5;0.3;63.6;53.27;56.7;56.8;97;95.73;0.7874;798;1000;0.654;5.25;199.63
3653;11.11;191.41;296.8;76.57;192;296.8;76.82;50;;102.38;24.8;355.02;109.27;0.33;371.54;3705.5;164;0.3;63.6;53.27;56.7;56.8;98;96.72;0.7874;798;1000;0.654;4.25;245.68
3650;7.94;337.11;458.6;91.05;333;458.5;89.43;60;90.3;105.6;31.18;287.95;106.66;0.49;306.24;2519.8;163;0.5;63.6;47.33;55.4;55.2;89.6;88.43;0.8213;795;1000;0.6822;3.72;294.59
3650;9.53;325.84;452.8;97.79;325;452.7;98.18;66;95.5;105.49;40.51;402.79;143.01;2.18;429.88;3517.8;218.9;2.2;63.6;47.33;55.4;55.2;85.5;84.38;0.8213;795;1000;0.6822;5.17;282.24
3650;12.7;299.56;437.3;103.11;299;437.2;105.98;74;103.6;105.47;51.38;654.56;230.98;4.56;692.79;5599.8;354.6;4.7;63.6;47.33;55.4;55.2;93.8;92.57;0.8213;795;1000;0.6822;8.4;280.56
3650;14.29;280.33;426.2;107.06;280;426.1;106.77;75;106.8;105.42;52.76;742.11;272.77;6.25;787.26;6020.6;421.6;6.4;63.6;47.33;55.4;55.2;92.3;91.09;0.8213;795;1000;0.6822;9.64;292.24
3650;15.87;256.21;414;109.78;255;413.9;109.39;75;110.2;105.36;55.51;846.82;302.62;8.34;896.91;6943.1;469.6;8.1;63.6;47.33;55.4;55.2;87.7;86.55;0.8213;795;1000;0.6822;10.93;284.08
3650;14.29;271.47;414.8;108.63;271;414.7;108.64;74;;105.35;53.13;720.27;262.01;6.01;763.64;5914.3;401.1;6.1;63.6;47.33;55.4;55.2;96.3;95.04;0.8213;795;1000;0.6822;9.33;289.18
3650;11.11;297.68;424.5;100.13;298;424.5;102.25;70;;105.37;44.88;497.16;179.76;3.29;526.91;4204.5;274;3.3;63.6;47.33;55.4;55.2;88.2;87.05;0.8213;795;1000;0.6822;6.42;287.52
3653;9.53;298.57;403.4;111.38;298;402.9;111.61;64;32;104.42;42.44;366.22;118.28;1.47;388.18;2724.6;184.3;1.5;63.6;43.4;54.9;52.7;88.8;87.64;0.8235;788.9;1000;0.684;4.59;254.84
3653;11.11;285.65;399.2;121.68;288;396.6;123.62;68;36;104.42;49.18;470.29;145.03;2.27;495.85;3324.9;229.5;2.3;63.6;43.4;54.9;52.7;87.4;86.26;0.8235;788.9;1000;0.684;5.83;243.23
;14.29;221.8;;107.56;222;;106.77;69;;;52.22;601.5;167.1;1;629.44;5020;254;1;63.6;;;;90.8;89.61;0.8243;788.4;1000;0.6847;7.28;219.04
3572;6.35;251.29;341.5;106;251.29;345;114.7;25;;104.9;26.5;148.2;40;0;;1768.6;98.2;0;30;38.59;51.3;51.7;94.8;93.56;;780;;0.662;;270
3572;9.53;237.1;330;105.9;237.1;328.7;103.8;31;;104.7;38.5;304.63;76.6;0;;2315.9;122.1;0;30;38.59;51.3;51.7;94.8;93.56;;780;;0.662;;251
3572;11.11;222.92;316;108.9;222.92;316.1;108.7;37;;104.6;45;389.86;91.8;1.1;;2998.1;143.5;1.2;30;38.59;51.3;51.7;103.6;102.25;;780;;0.662;;236
3572;12.7;222.92;301.6;101.7;222.92;329.7;108.4;37;;104.5;48.2;472.62;102.3;2.4;;4013.4;158.9;2.4;30;38.59;51.3;51.7;98;96.72;;780;;0.662;;217
3588.5;7.94;258;359.9;100.2;258;359.9;100.2;57;33;105.1;33.2;235.78;59.6;1.3;247.23;1839.2;94.7;1.2;30;40.39;49.4;;97.6;96.32;;792;;0.68;;200
3588.5;9.53;250.3;346.9;98.9;248;346.9;98.8;62;38.5;104.88;39;326.31;74;2.6;340.13;2690.92;119.1;2.7;30;40.39;49.4;;95.5;94.25;;792;;0.68;;180
3588.5;11.11;232;330.5;94.5;232;330.5;93.1;66;42.9;104.5;43.3;415.32;88.7;3.8;429.84;3706.49;138.7;3.9;30;40.39;49.4;;90.3;89.12;;792;;0.68;;169
3588.5;12.7;214.2;314.2;96.9;215;314.2;97;68;47.9;104;47.8;489.67;98.6;4.7;506.46;4437.44;159.2;4.9;30;40.39;49.4;;92;90.8;;792;;0.68;;160
3588.5;14.29;193;297.5;98.2;193;297.5;98.3;68;51;103.4;51.2;554.81;109.1;5.7;571.84;5035.74;170.4;5.8;30;40.39;49.4;;93.2;91.98;;792;;0.68;;156
3588.5;12.7;206;306.9;97.2;206;306.8;97.6;67;;103.76;48.2;490.36;94.7;4.5;505.13;4386.75;149.6;4.6;30;40.39;49.4;;92.5;91.29;;792;;0.68;;153
;9.53;215;;100.37;215;;100.26;58;;;37.54;285;55.4;0.5;296.33;2291;91;0.5;30;;;;92.9;91.69;;781;;0.67;;152
3478.5;9.53;260;347;93.85;260;345.7;94.36;57;34.3;106.51;35.29;347.86;67.79;5.49;360.53;3019.1;104;5.6;63.52;39.49;;;87.9;86.75;;779.8;;0.67;;152
3478.5;11.11;248.14;342;94.36;248;335.4;94.18;60;38.5;106.48;40.52;448.2;79.32;5.45;462.62;4002.5;122.7;5.6;63.52;39.49;;;87.9;86.75;;779.8;;0.67;;138
;12.7;200;;102.14;200;;102.23;66;;;48.37;479.1;80.9;0.7;492.6;4109;416;0.7;63.5;;;;93;91.78;;776.7;;0.67;;131
3640.5;6.35;270.76;403;105.38;270.76;404.8;105.95;47;;104;22.45;182.45;49.43;0.32;191.76;1239.4;80;0.3;63.3;42.86;50.8;51.2;102.4;101.06;;784;;0.68;;212
3640.5;9.53;244.45;396.6;108.49;244.45;397.3;108.12;59;;107.07;36.27;383.72;93.85;0.45;401.39;2827.3;151.9;0.4;63.3;42.86;50.8;51.2;97;95.73;;792;;0.68;;194
3640.5;11.11;235.66;390;107.79;235.66;390.1;108.5;62;;105;42.72;498.6;117.47;1.11;520.72;3817.5;185.2;1.1;63.3;42.86;50.8;51.2;103.7;102.34;;792;;0.68;;187
3640.5;12.7;227.86;384.4;110.17;227.86;381.3;110.19;64;;104.9;47.99;612.21;139.53;0.65;638.48;4835;222.6;0.7;63.3;42.86;50.8;51.2;103.8;102.44;;792;;0.68;;180
3667;7.94;264;362.8;95.6;263;362.9;95.34;49;26.1;105.54;26.44;243.22;61.33;1.37;255.25;1924.9;101.5;1.3;63.3;39.02;48.3;50.9;93.1;91.88;;787;;0.67;;198
3667;9.53;256;359.3;96.6;256;359.3;97.32;55;33.4;105.57;33.69;353.22;77.99;3.5;366.86;2856.2;123.1;3.5;63.3;39.02;48.3;50.9;92.8;91.59;;787;;0.67;;174
3667;11.11;249.27;354;98.95;249;354;40.74;60;39.2;105.56;39.67;451.48;98.2;3.89;468.66;3766.5;154;3.9;63.3;39.02;48.3;50.9;94.8;93.56;;787;;0.67;;171
3667;12.7;239.64;348.1;100.1;239;348.1;45.06;64;43.7;105.51;44.07;537.87;113.09;5.19;557.65;4529.6;176.6;5.3;63.3;39.02;48.3;50.9;95.2;93.96;;787;;0.67;;165
3667;14.29;223.11;340;102.23;221;340;47.85;66;47.8;105.44;48.17;653.03;134.34;6.58;676.53;5557.8;206;6.6;63.3;39.02;48.3;50.9;96;94.74;;787;;0.67;;162
3670;12.7;229.89;336.3;102.4;228;333.1;102.29;65.1;44.8;105.04;44.74;503.75;134.48;6.66;528.67;4152;195.9;6.7;63.3;37.19;48;50.2;95.8;94.55;;778.8;;0.67;;140
3668.5;9.53;248;340;94.02;248;339.8;94.2;59;32.4;104.85;33.51;338.63;66.59;1.39;350.55;2868.6;105.2;1.4;72.54;36.75;48.4;49.7;88.8;87.64;;782.53;;0.66;;154
3668.5;11.11;239;334;95.51;239;331.7;95.88;61;38.6;104.83;39.29;432.74;77.91;2.02;445.72;3773;122.8;2;72.54;36.75;48.4;49.7;88.1;86.95;;782.53;;0.66;;141
3668.5;12.7;223.89;326;94.89;223;324;95.52;64;42.7;104.74;42.91;514.1;91.24;2.8;528.93;4590.3;142.1;2.7;72.54;36.75;48.4;49.7;88.8;87.64;;782.53;;0.66;;139
3668.5;14.29;206;318;97.27;205;312.5;95.52;66;46.9;104.64;46.72;608.78;102.94;3.23;625.49;5452.4;161.1;3.3;72.54;36.75;48.4;49.7;88.9;87.74;;782.53;;0.66;;132
3424.5;6.35;219.88;316.1;101.82;219.88;316.2;101.92;24.2;;106.2;23.66;128.37;39.74;0.6;136.82;884;68.9;0.5;44.2;37.21;50.2;50.7;101.8;100.47;;780;;0.65;;241
3424.5;9.53;201.64;281.5;103.87;201.64;275.9;103.97;35.5;;106.4;36.56;244.58;67.58;1.4;259.2;1867;120.4;1.4;44.2;37.21;50.2;50.7;103.6;102.25;;780;;0.65;;216
3424.5;11.11;182.39;257.9;103.06;182.39;258;103.45;42.3;;106.47;42.63;295.81;71.29;2.18;311.24;2445;123.9;2.3;44.2;37.21;50.2;50.7;102.6;101.26;;792;;0.65;;191
3424.5;12.7;163.13;236.5;104.28;163.13;237.8;104.34;47.8;;106.4;48.02;330.5;74.59;2.5;346.64;2869;126.4;2.6;44.2;37.21;50.2;50.7;103.9;102.54;;785;;0.65;;177
3424.5;14.3;149.96;221.2;104.43;149.96;221.3;104.62;50.6;;106.7;50.58;346.7;73.12;2.55;362.52;3112;121.4;2.6;44.2;37.21;50.2;50.7;104;102.64;;777;;0.65;;164
3437;7.5;212;305.56;100.8;215;305.6;99.7;40;26;106.5;25.9;162.15;45.4;0.6;172.04;1168;79;0.5;44.2;36.46;47.9;48.6;99.8;98.49;;782;;0.68;;219
3437;7.94;210.63;298.69;100.6;209;298.7;100.6;48;27.8;106.6;28.5;189.82;52.8;1;201.32;1401;93.1;1;44.2;36.46;47.9;48.6;99.8;98.49;;782;;0.68;;218
3437;9.53;193.52;278.23;100.6;193;278.2;100.6;54;35.1;106.6;36.3;250.43;63.9;1.5;264.35;1996;110.8;1.6;44.2;36.46;47.9;48.6;100.1;98.79;;782;;0.68;;200
3437;11.11;175.23;256.21;101.2;173;256.2;101.2;54;40.9;106.5;41;305.59;63;1.7;319.31;2545;115.5;1.9;44.2;36.46;47.9;48.6;100.1;98.79;;782;;0.68;;161
3437;12.7;153.35;234.19;101.3;154;234.2;101.6;56;45.6;106.4;46.2;344.29;69;0.9;359.32;3043;113.2;1;44.2;36.46;47.9;48.6;100.3;98.99;;782;;0.68;;157
3437;14.29;138.16;216.9;101.4;138;216.8;100.2;57;49.3;106.43;49.7;360.23;71.1;0.8;375.72;3320;116.8;0.8;44.2;36.46;47.9;48.6;100.7;99.38;;782;;0.68;;154
3440;7.94;163.62;174;92.05;163;174;90.95;44;25.6;102.55;25.94;145.68;33.94;0.24;154.32;1187;60.9;0.2;44.2;29.17;56.1;;90;88.82;;770.1;;0.57;;180
3440;7.94;163.6;228.46;92.59;164;229.1;92.64;42;24.8;102.51;25.81;145.72;33.63;0.24;154.29;1168;60.1;0.2;44.2;29.17;56.1;;90.4;89.22;;770.1;;0.57;;178
3440;7.94;163;228.1;92.63;163;231.4;94.15;43;26.6;102.07;26.24;144.77;33.85;0.24;153.39;1172;59.8;0.2;44.2;29.17;56.1;;90.7;89.51;;770.1;;0.57;;180
3277.8;6.35;288.78;382.5;101.9;288.78;378.6;104.1;26.5;;106.2;25.9;168.59;48.3;0.8;178.86;1891;116.8;0.8;44.5;40.35;53.9;52.7;101.5;100.17;;781;;0.67;;224
3277.8;9.53;282.7;373.7;103.8;282.7;379.6;103.5;39;;106.4;40.1;354.22;89.8;3.2;373.32;1192;82.6;0.8;44.5;40.35;53.9;52.7;101.5;100.17;;186;;0.67;;199
3277.8;11.11;271.55;365.7;103.6;271.55;372.7;102.9;45.3;;106.47;46.1;460.41;117.3;0.6;485.34;2740;152.8;3.3;44.5;40.35;53.9;52.7;103.2;101.85;;790;;0.67;;201
3277.8;12.7;254.33;354.5;104.1;254.33;364.1;103.8;50.3;;106.4;50.5;569.07;138.4;1.6;598.49;3730;196.5;0.6;44.5;40.35;53.9;52.7;102.7;101.36;;787;;0.67;;191
3277.8;14.3;239.13;345.9;105.8;239.13;354.6;104;53.5;;106.7;54;648.1;158;1.8;681.69;4726;232.4;1.7;44.5;40.35;53.9;52.7;103.1;101.75;;787;;0.67;;192
3276;7.5;268;370.04;95;268;370.1;95.4;56;28.6;104.98;30.4;246.61;69.9;1.2;261.47;1967;114.7;1.1;44.5;39.44;48.3;45.6;94.3;93.07;;785;;0.67;;222
3276;9.53;262;364.68;94.9;262;364.6;94.9;62;36.3;105.18;37.5;350.09;94.4;1.4;370.16;2970;154.5;1.4;44.5;39.44;48.3;45.6;93.5;92.28;;785;;0.67;;212
3276;11.11;252;357.12;97;252;357;96.9;66;42.8;105.24;43.7;452.11;117.6;1.4;477.12;3869;196.7;1.4;44.5;39.44;48.3;45.6;95.3;94.05;;785;;0.67;;204
3276;12.7;237.4;347.44;95.7;238;347.5;95.8;70;47.5;105.23;47.9;562.2;142;2.1;592.39;5012;235.7;2;44.5;39.44;48.3;45.6;94.2;92.97;;785;;0.67;;198
3276;14.3;220;337.88;99.8;220;337.7;99.3;70;51.8;105.16;52.1;653.25;154.7;2.3;686.15;5733;264.3;2.4;44.5;39.44;48.3;45.6;98.5;97.21;;785;;0.67;;186
3284;7.94;241.12;335.2;88.7;241;335.5;89;51;27;104.68;27.2;215.34;55.4;1.1;226.54;1773;93.1;1.1;44.5;35.28;40.5;41.6;89.7;88.53;;782;;0.66;;201
